objectname,objectid,rating,numplays,weight,own,fortrade,want,wanttobuy,wanttoplay,prevowned,preordered,wishlist,wishlistpriority,wishlistcomment,comment,conditiontext,haspartslist,wantpartslist,collid,baverage,average,avgweight,rank,numowned,objecttype,originalname,minplayers,maxplayers,playingtime,maxplaytime,minplaytime,yearpublished,bggrecplayers,bggbestplayers,bggrecagerange,bgglanguagedependence,publisherid,imageid,year,language,other,itemtype,pricepaid,pp_currency,currvalue,cv_currency,acquisitiondate,acquiredfrom,quantity,privatecomment,version_publishers,version_languages,version_yearpublished,version_nickname
"The 7th Continent","180263","0","","0","0","0","0","0","1","0","0","0","1","","","","","","46293415","7.71243","8.75285","2.8594","41","6266","thing","The 7th Continent","1","4","1000","1000","5","2017","1,2,3","1,2","10+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","","","","","","","","",""
"Above and Below","172818","7","2","0","0","0","0","0","0","0","0","0","3","","","","","","36972217","7.32049","7.61619","2.5439","140","11298","thing","Above and Below","2","4","90","90","90","2015","2,3,4","3","10+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","","","","","","","","",""
"Ad Astra","38343","0","","0","0","0","0","0","1","0","0","0","3","","","","","","46921543","6.49834","6.89482","2.6742","864","2685","thing","Ad Astra","3","5","60","60","60","2009","3,4,5","4","12+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","","","","","","","","",""
"Adventure Time Love Letter","175307","7","5","0","0","0","0","0","0","0","0","0","3","","","","","","38308155","6.3842","7.30324","1.0286","1052","2585","thing","Adventure Time Love Letter","2","4","20","20","0","2015","3,4","4","6+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","","","","","","","","",""
"Age of Steam","4098","0","","0","0","0","0","0","1","0","0","0","1","","","","","","45819313","7.40715","7.69881","3.9288","103","6494","thing","Age of Steam","1","6","120","120","120","2002","3,4,5,6","4","14+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","","","","","","","","",""
"Agricola","31260","9","2","0","1","0","0","0","0","0","0","0","3","","","","","","31716706","7.93745","8.03511","3.6319","15","62050","thing","Agricola","1","5","150","150","30","2007","1,2,3,4,5","3,4","12+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","","","","","","","","",""
"Agricola (revised edition)","200680","0","","0","0","0","0","0","0","0","0","0","3","","","","","","35284129","7.17592","8.27443","3.3857","215","3204","thing","Agricola (revised edition)","1","4","120","120","30","2016","1,2,3,4","4","12+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","","","","","","","","",""
"Agricola: Farmers of the Moor","43018","0","","0","1","0","0","0","0","0","0","0","1","","","","","","46481642","7.63565","8.11977","3.5337","0","12519","thing","Agricola: Farmers of the Moor","1","5","200","200","100","2009","1,2,3,4,5","3,4","12+","Extensive use of text - massive conversion needed to be playable","","","","","","expansion","","","","","","","","","","","",""
"Agricola: The Goodies Expansion","73833","0","","0","1","0","0","0","0","0","0","0","1","","","","","","46481646","6.40231","7.4437","3.2333","0","3048","thing","Agricola: The Goodies Expansion","1","5","120","120","120","2010","1,2,3,4,5","2","14+","Extensive use of text - massive conversion needed to be playable","","","","","","expansion","","","","","","","","","","","",""
"Alhambra","6249","0","","0","0","0","0","0","1","0","0","0","3","","","","","","46921638","6.94309","7.03652","2.1163","391","26621","thing","Alhambra","2","6","60","60","45","2003","2,3,4,5","3","8+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","",""
"Alpaca Pakapaka","157291","6","1","0","0","0","0","0","0","0","0","0","3","","","","","","35217612","5.53159","6.25729","1","9505","103","thing","Alpaca Pakapaka","2","6","15","15","15","2013","2,3,4","4","6+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","","","","","","","","",""
"Altiplano","234487","0","","0","0","0","0","0","1","0","0","0","3","","","","","","46444946","6.26134","7.56567","3.4231","1312","815","thing","Altiplano","2","5","120","120","60","2017","2,3,4","2,3","","No necessary in-game text","","","","","","standalone","","","","","","","","","","","",""
